1988
----
Mazin Saga (Mazin Wars)				SMPS Z80/Type 1 DAC
McDonald's Treasure Land Adventure		SMPS 68k/Type 2b
Mega Games 2/3 menu				SMPS 68k/Type 2b
Mega Q: Party Quiz				SMPS 68k/Type 2b
Metal Fangs					pre-SMPS 68k/PCM [incorrectly detected as SMPS 68k]
OutRun 2019					SMPS Z80/Type 1 DAC
Phantasy Star: The End of the Millenium		SMPS 68k/Type 2b (mod)
Shinobi III (The Super Shinobi II)		SMPS 68k/Type 2b
Sonic CD					SMPS Z80/Type 1 FM (mod)
Tecmo Cup (Captain Tsubasa) (beta)		SMPS Z80
Wimbledon Championship Tennis			SMPS Z80

1994
----
6-Pak menu (Mega Games 6in1)			SMPS Z80/Type 1 FM (uses Columns sound driver/music) [missing on GDRI]
Art of Fighting (Ryuuko no Ken)			SMPS Z80/Type 2 FM
ATP Tour Championship Tennis			SMPS Z80/Type 2 FM (mod)
Bishoujo Senshi Sailor Moon			SMPS 68k/Type 2b
Cosmic Carnage (Cyber Brawl)			[32x] SMPS 68k/32x
Crayon Shin-Chan				SMPS 68k/Type 2a
Dynamite Headdy					SMPS 68k/Type 2b (Treasure mod)
Fatal Fury 2 (Garou Densetsu 2)			SMPS 68k/Type 2b (same as Fatal Fury 1)
Gouketsuji Ichizoku				SMPS Z80/Type 2 FM (mod)
J.League Pro Striker 2				SMPS Z80/Type 2 FM (mod)
King of the Monsters 2				SMPS Z80/Type 1 DAC
Mega Man: The Wily Wars (Rockman Megaworld)	SMPS Z80/Type 2 FM
Mighty Morphin' Power Rangers			SMPS Z80/Type 2 FM
OutRunners					SMPS Z80 (SMPS 68k/Type 1b port, 'SMPS light' mod)
Pulseman					SMPS 68k/Type 2a
Puzzle & Action: Tant-R				SMPS Z80/Type 2 FM (Dyna Brothers 2 descendant)
Samurai Shodown (Samurai Spirits)		SMPS 68k/Type 2b
Sega Channel (JP)				SMPS Z80/Type 1 FM
Sonic & Knuckles				SMPS Z80/Type 2 DAC (Sonic 3 mod)
Sonic the Hedgehog 3				SMPS Z80/Type 2 DAC (Sonic 3 mod)
Sonic The Hedgehog's Gameworld (J)		[Pico] SMPS 68k-Pico/Type 2a
The Hybrid Front				SMPS Z80/Type 2 DAC
Viewpoint					SMPS Z80/Type 2 FM
Virtua Racing					SMPS Z80/Type 1 DAC (mod)
Virtua Racing Deluxe				[32x] SMPS 68k/32x [GDRI was wrong here]
Yuu Yuu Hakusho Gaiden				SMPS Z80/Type 1 DAC
Yuu Yuu Hakusho: Makyou Touitsusen		SMPS 68k/Type 2b (Treasure mod)

1995
----
Alien Soldier					SMPS 68k/Type 2b (Treasure mod)
